SlNo,State,CollegeName,District,University,Management,YearOfInception,AnnualIntake
240,Karnataka,Akash Institute of Medical Sciences & Research Centre Devanhalli Bangalore,Devanhalli,Rajiv Gandhi University of Health Sciences Karnataka,Trust,2016,150
241,Karnataka,Kanachur Institute of Medical Sciences Mangalore,Mangalore,Rajiv Gandhi University of Health Sciences Karnataka,Trust,2016,200
242,Karnataka,Karwar Institute of Medical Sciences Karwar,Karwar,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,2016,150
243,Karnataka,Chamrajanagar Institute of Medical Sciences,Chamrajanagar,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,2016,150
244,Karnataka,Kodagu Institute of Medical Sciences Kodagu,Kodagu,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,2016,150
245,Karnataka,Koppal Institute of Medical Sciences Koppal,Koppal,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,2015,150
246,Karnataka,Gulbarga Institute of Medical Sciences Gulbarga,Gulbarga,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,2015,150
247,Karnataka,Gadag Institute of Medical Sciences Gadag,Gadag,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,2015,150
248,Karnataka,The Oxford Medical College Hospital & Research Centre Bangalore,Bangalore,Rajiv Gandhi University of Health Sciences Karnataka,Society,2014,200
249,Karnataka,Employees State Insurance Corporation Medical College Gulbarga,Gulbarga,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,2013,150
250,Karnataka,Shridevi Institute of Medical Sciences & Research Hospital Tumkur,Tumkur,Rajiv Gandhi University of Health Sciences Karnataka,Trust,2013,150
251,Karnataka,BGS Global Institute of Medical Sciences Bangalore,Bangalore,Rajiv Gandhi University of Health Sciences Karnataka,Trust,2013,150
252,Karnataka,Subbaiah Institute of Medical Sciences Shimoga,Shimoga,Rajiv Gandhi University of Health Sciences Karnataka,Trust,2012,200
253,Karnataka,Employees State Insurance Corporation Medical College Bangalore,Bangalore,Rajiv Gandhi University of Health Sciences Karnataka,Govt.,2012,150
254,Karnataka,Srinivas Institute of Medical Research Centre Srinivasnagar Mangalore,Mangalore,Rajiv Gandhi University of Health Sciences Karnataka,Trust,2011,200
255,Karnataka,Sapthagiri Institute of Medical Sciences & Research Centre Bangalore,Bangalore,Rajiv Gandhi University of Health Sciences Karnataka,Trust,2011,250
256,Karnataka,SDM College of Medical Sciences & Hospital Sattur Dharwad,Dharwad,Rajiv Gandhi University of Health Sciences Karnataka,Trust,2003,150
257,Karnataka,Navodaya Medical College Raichur,Raichur,Rajiv Gandhi University of Health Sciences Karnataka,Trust,2002,200
258,Karnataka,Basaveswara Medical College and Hospital Chitradurga,Chitradurga,Rajiv Gandhi University of Health Sciences Karnataka,Trust,1999,150
259,Karnataka,Siddaganga Medical College and Research Institute Tumakuru,Tumakuru,Rajiv Gandhi University of Health Sciences Bengaluru,Trust,2022,150
260,Karnataka,Yadgiri Institute of Medical Sciences Yadgiri,Yadgiri,Rajiv Gandhi University of Health Sciences Bengaluru,Govt.,2022,150
261,Karnataka,Haveri Institute of Medical Sciences Haveri,Haveri,Rajiv Gandhi University of Health Sciences Bengaluru,Govt.,2022,150
262,Karnataka,Chikkamagaluru Institute of Medical Sciences Chikkamagaluru,Chikkamagaluru,Rajiv Gandhi University of Health Sciences Bengaluru,Govt.,2022,150
263,Karnataka,Shri B M Patil Medical College Hospital & Research Centre Vijayapura,Vijayapura,Rajiv Gandhi University of Health Sciences Karnataka,Trust,1986,200
264,Kerala,VN Public Health and Educational Trust Palakkad,Palakkad,Kerala University of Health Sciences,Trust,2024,150
265,Kerala,Jubilee Mission Medical College & Research Institute Thrissur,Thrissur,Kerala University of Health Sciences Thrissur,Trust,2002,100
266,Kerala,Amala Institute of Medical Sciences Thrissur,Thrissur,Kerala University of Health Sciences Thrissur,Trust,2002,100
267,Kerala,Government Medical College Ernakulam,Ernakulam,Kerala University of Health Sciences Thrissur,Govt.,2000,110
268,Kerala,Government Medical College Kottayam,Kottayam,Kerala University of Health Sciences Thrissur,Govt.,1960,175
269,Kerala,Government Medical College Thrissur,Thrissur,Kerala University of Health Sciences Thrissur,Govt.,1981,175
270,Kerala,M E S Medical College Perintalmanna Malappuram,Perintalmanna,Kerala University of Health Sciences Thrissur,Trust,2002,150
271,Kerala,Govt. Medical College Pariyaram Kannur,Kannur,Kerala University of Health Sciences Thrissur,Govt.,1995,100
272,Kerala,Sree Gokulam Medical College Trust & Research Foundation Trivandrum,Trivandrum,Kerala University of Health Sciences Thrissur,Trust,2005,150
273,Kerala,Travancore Medical College Kollam,Kollam,Kerala University of Health Sciences Thrissur,Trust,2009,150
274,Kerala,Sree Narayana Instt. of Medical Sciences Chalakka Ernakulam,Ernakulam,Mahatma Gandhi University Kerala,Trust,2009,150
275,Kerala,Government Medical College Kozhikode Calicut,Calicut,Kerala University of Health Sciences Thrissur,Govt.,1957,250
276,Kerala,Azeezia Instt of Medical Science Meeyannoor Kollam,Kollam,Kerala University of Health Sciences Thrissur,Trust,2008,100
277,Kerala,T D Medical College Alleppey,Alleppey,Kerala University of Health Sciences Thrissur,Govt.,1963,175
278,Kerala,Kannur Medical College Kannur,Kannur,Kerala University of Health Sciences Thrissur,Trust,2006,150
279,Kerala,Karuna Medical College Palakkad,Palakkad,Calicut University,Trust,2006,100
280,Kerala,Sree Uthradom Thiurnal Academy of Medical Sciences Trivandrum,Trivandrum,Kerala University of Health Sciences Thrissur,Trust,2006,150
281,Kerala,Medical College Thiruvananthapuram,Thiruvananthapuram,Kerala University of Health Sciences Thrissur,Govt.,1951,250
282,Kerala,Amrita School of Medicine Elamkara Kochi,Kochi,Amrita Vishwa Vidyapeetham Deemed Coimbatore,Trust,2000,150
283,Kerala,Government Medical College Parippally Kollam,Kollam,Kerala University of Health Sciences Thrissur,Govt.,2017,110
284,Kerala,Believers Church Medical College Hospital Thiruvalla,Thiruvalla,Kerala University of Health Sciences Thrissur,Trust,2016,100
285,Kerala,Government Medical College Yakkara Palakkad,Yakkara,Kerala University of Health Sciences Thrissur,Govt.,2014,100
286,Kerala,Al-Azhar Medical College and Super Speciality Hospital Thodupuzha,Thodupuzha,Kerala University of Health Sciences Thrissur,Trust,2014,150
287,Kerala,P K Das Institute of Medical Sciences Palakkad,Palakkad,Kerala University of Health Sciences Thrissur,Trust,2014,200
288,Kerala,Mount Zion Medical College Chayalode Ezhamkulam Adoor Pathanamthitta,Pathanamthitta,Kerala University of Health Sciences Thrissur,Society,2014,150
289,Kerala,DM Wayanad Institute of Medical Sciences Wayanad,Wayanad,Kerala University of Health Sciences Thrissur,Trust,2013,150
290,Kerala,Government Medical College Manjeri Malapuram,Malapuram,Kerala University of Health Sciences Thrissur,Govt.,2013,110
291,Kerala,Malabar Medical College Kozhikode Calicut,Calicut,Kerala University of Health Sciences Thrissur,Trust,2010,200
292,Kerala,KMCT Medical College Kozhikode Calicut,Calicut,Kerala University of Health Sciences Thrissur,Trust,2008,250
293,Kerala,Dr. Somervel Memorial CSI Hospital & Medical College Karakonam Thiruvananthapuram,Karakonam,Kerala University of Health Sciences Thrissur,Trust,2001,150
294,Kerala,Malankara Orthodox Syrian Church Medical College Kolenchery,Kolenchery,Kerala University of Health Sciences Thrissur,Trust,2001,100
295,Kerala,Government Medical College Konni,Konni,Kerala University of Health Sciences Thrissur,Govt.,2022,100
296,Kerala,Government Medical College Idukki,Idukki,Kerala University of Health Sciences,Govt.,2022,100
297,Kerala,Pushpagiri Institute Of Medical Sciences and Research Centre Tiruvalla,Tiruvalla,Kerala University of Health Sciences Thrissur,Trust,2002,100
298,Madhya Pradesh,Government Medical College Seoni,Seoni,Madhya Pradesh Medical Science University,Govt.,2024,100
299,Madhya Pradesh,School of Medical Sciences Sri Satya Sai University of Technology and Medical Sciences Sehore,Sehore,Madhya Pradesh Medical Science University Jabalpur,Society,2024,100
300,Madhya Pradesh,Sundarlal Patwa Govt. Medical College Mandsaur,Mandsaur,Madhya Pradesh Medical Science University,Govt.,2024,100
301,Madhya Pradesh,Virendra Kumar Sakhlecha Government Medical College Neemuch,Neemuch,Madhya Pradesh Medical Science University,Govt.,2024,100
302,Madhya Pradesh,Ram Krishna College Hospital & Research Centre Bhopal,Bhopal,Madhya Pradesh Medical Science University Jabalpur,Trust,2023,150
303,Madhya Pradesh,Government Medical College Satna,Satna,Madhya Pradesh Medical Science University,Govt.,2023,150
304,Madhya Pradesh,L.N. Medical College and Research Centre Bhopal,Bhopal,LNCT University Bhopal,Trust,2009,250
305,Madhya Pradesh,Gajra Raja Medical College Gwalior,Gwalior,Jiwaji University,Govt.,1946,200
306,Madhya Pradesh,Gandhi Medical College Bhopal,Bhopal,Madhya Pradesh Medical Science University Jabalpur,Govt.,1955,250
307,Madhya Pradesh,Index Medical College Hospital & Research Centre Indore,Indore,Madhya Pradesh Medical Science University Jabalpur,Trust,2007,250
308,Madhya Pradesh,Shyam Shah Medical College Rewa,Rewa,Madhya Pradesh Medical Science University Jabalpur,Govt.,1963,150
309,Madhya Pradesh,Sri Aurobindo Medical College and Post Graduate Institute Indore,Indore,Sri Aurobindo University,Trust,2003,250
310,Madhya Pradesh,Netaji Subhash Chandra Bose Medical College Jabalpur,Jabalpur,Madhya Pradesh Medical Science University Jabalpur,Govt.,1955,250
311,Madhya Pradesh,All India Institute of Medical Sciences Bhopal,Bhopal,Statutory Autonomous AIIMS(Bhopal),Govt.,2012,125
312,Madhya Pradesh,M G M Medical College Indore,Indore,Madhya Pradesh Medical Science University Jabalpur,Govt.,1948,250
313,Madhya Pradesh,Ruxmaniben Deepchand Gardi Medical College Ujjain,Ujjain,Madhya Pradesh Medical Science University Jabalpur,Trust,2001,150
314,Madhya Pradesh,LNCT Medical College & Sewakunj Hospital Indore,Indore,Madhya Pradesh Medical Science University Jabalpur,Society,2021,150
315,Madhya Pradesh,Sukh Sagar Medical College & Hospital Jabalpur,Jabalpur,Madhya Pradesh Medical Science University Jabalpur,Trust,2021,150
316,Madhya Pradesh,Mahaveer Institute of Medical Sciences & Research Bhopal,Bhopal,Madhya Pradesh Medical Science University Jabalpur,Society,2020,150
317,Madhya Pradesh,Government Medical College Chhindwara,Chhindwara,Madhya Pradesh Medical Science University Jabalpur,Govt.,2019,100
318,Madhya Pradesh,Government Medical College Shahdol,Shahdol,Madhya Pradesh Medical Science University Jabalpur,Govt.,2019,100
319,Madhya Pradesh,Government Medical College Shivpuri,Shivpuri,Madhya Pradesh Medical Science University Jabalpur,Govt.,2019,100
320,Madhya Pradesh,Government Medical College Ratlam,Ratlam,Madhya Pradesh Medical Science University Jabalpur,Govt.,2018,180
321,Madhya Pradesh,Government Medical College Vidisha,Vidisha,Madhya Pradesh Medical Science University Jabalpur,Govt.,2018,180
322,Madhya Pradesh,Government Medical College Khandwa,Khandwa,Madhya Pradesh Medical Science University Jabalpur,Govt.,2018,120
323,Madhya Pradesh,Government Medical College Datia,Datia,Madhya Pradesh Medical Science University Jabalpur,Govt.,2018,120
324,Madhya Pradesh,Amaltas Institute of Medical Sciences Dewas,Dewas,Madhya Pradesh Medical Science University Jabalpur,Society,2016,250
325,Madhya Pradesh,RKDF Medical College Hospital & Research Centre Jatkhedi Bhopal,Bhopal,Sarvepalli Radhakrishnan University Bhopal,Society,2014,150
326,Madhya Pradesh,Chirayu Medical College and Hospital Bairagarh Bhopal,Bairagarh,Madhya Pradesh Medical Science University Jabalpur,Trust,2011,250
327,Madhya Pradesh,Bundelkhand Medical College Sagar,Sagar,Dr. Harising Gour University Sagar,Govt.,2009,125
328,Madhya Pradesh,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,Bhopal,Peoples University Bhopal,Trust,2005,250
329,Maharashtra,Government Medical College L.T. Marg Mumbai,Mumbai,Maharashtra University of Health Sciences,Govt.,2024,50
330,Maharashtra,Government Medical College Nashik,Nashik,Maharashtra University of Health Sciences Nashik,Govt.,2024,50
331,Maharashtra,Mahatma Gandhi Missions Medical College Navi Mumbai,Navi Mumbai,MGM Institute of Health Sciences,Private,2024,50
332,Maharashtra,Shri Ramchandra Institute of Medical Sciences Aurangabad,Aurangabad,Maharashtra University of Health Sciences Nashik,Private,2024,50
333,Maharashtra,Government Medical College Jalna,Jalna,Maharashtra University of Health Sciences Nashik,Govt.,2024,100
334,Maharashtra,Government Medical College Gadchiroli,Gadchiroli,Maharashtra University of Health Sciences Nashik,Govt.,2024,100
335,Maharashtra,Government Medical College Buldhana,Buldhana,Maharashtra University of Health Sciences Nashik,Govt.,2024,100
336,Maharashtra,Government Medical College Bhandara,Bhandara,Maharashtra University of Health Sciences Nashik,Govt.,2024,100
337,Maharashtra,Government Medical College Hingoli,Hingoli,Maharashtra University of Health Sciences Nashik,Govt.,2024,100
338,Maharashtra,Government Medical College Washim,Washim,Maharashtra University of Health Sciences Nashik,Govt.,2024,100
339,Maharashtra,Government Medical College Ambernath,Ambernath,Maharashtra University of Health Sciences Nashik,Govt.,2024,100
340,Maharashtra,Government Medical College Amravati,Amravati,Maharashtra University of Health Sciences Nashik,Govt.,2024,100
341,Maharashtra,Government Medical College and District Hospital Ratnagiri,Ratnagiri,Maharashtra University of Health Sciences Nashik,Govt.,2023,100
342,Maharashtra,Mahatma Gandhi Mission Medical College Vashi,Vashi,Maharashtra University of Health Sciences Nashik,Trust,2023,100
343,Maharashtra,Government Medical College Parbhani,Parbhani,Maharashtra University of Health Sciences Nashik,Govt.,2023,100
344,Maharashtra,Parbhani Medical College,Parbhani,Maharashtra University of Health Sciences Nashik,Society,2023,150
345,Maharashtra,Indira Gandhi Medical College & Hospital Nagpur,Nagpur,Maharashtra University of Health Sciences Nashik,Govt.,1968,200
346,Maharashtra,Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital Thane,Thane,Maharashtra University of Health Sciences Nashik,Govt.,1992,100
347,Maharashtra,Dr Vaishampayan Memorial Medical College Solapur,Solapur,Maharashtra University of Health Sciences Nashik,Govt.,1963,200
348,Maharashtra,ACPM Medical College Dhule,Dhule,Maharashtra University of Health Sciences Nashik,Trust,1990,100
349,Maharashtra,Sri Bhausaheb Hire Government Medical College Dhule,Dhule,Maharashtra University of Health Sciences Nashik,Govt.,1988,150
350,Maharashtra,Dr. D Y Patil Medical College Hospital and Research Centre Pimpri Pune,Pimpri,Dr. D Y Patil University Deemed Pimpri Pune,Trust,1995,250
351,Maharashtra,Grant Medical College Mumbai,Mumbai,Maharashtra University of Health Sciences Nashik,Govt.,1845,250
352,Maharashtra,Krishna Institute of Medical Sciences Karad,Karad,Krishna Institute of Medical Sciences University Deemed Karad,Trust,1984,250
353,Maharashtra,Government Medical College Nagpur,Nagpur,Maharashtra University of Health Sciences Nashik,Govt.,1947,250
354,Maharashtra,All India Institute of Medical Sciences Nagpur,Nagpur,Statutory Autonomous AIIMS(Nagpur),Govt.,2018,125
355,Maharashtra,Mahatma Gandhi Institute of Medical Sciences Sevagram Wardha,Wardha,Maharashtra University of Health Sciences Nashik,Trust,1969,100
356,Maharashtra,Bharati Vidyapeeth Deemed University Medical College & Hospital Sangli,Sangli,Bharati Vidyapeeth University Deemed Pune,Trust,2005,150
357,Maharashtra,Seth GS Medical College Mumbai,Mumbai,Maharashtra University of Health Sciences Nashik,Govt.,1925,250
358,Maharashtra,Dr. D Y Patil Medical College Kolhapur,Kolhapur,D.Y. Patil Education Society Deemed Kolhapur,Trust,1989,150
359,Maharashtra,Maharashtra Institute of Medical Sciences & Research Latur,Latur,Maharashtra University of Health Sciences Nashik,Trust,1990,150
360,Maharashtra,Shri Vasant Rao Naik Govt. Medical College Yavatmal,Yavatmal,Maharashtra University of Health Sciences Nashik,Govt.,1989,200
361,Maharashtra,Rajashree Chatrapati Shahu Maharaj Government Medical College Kolhapur,Kolhapur,Maharashtra University of Health Sciences Nashik,Govt.,2001,150
362,Maharashtra,Government Medical College Latur,Latur,Maharashtra University of Health Sciences Nashik,Govt.,2002,150
363,Maharashtra,Lokmanya Tilak Municipal Medical College Sion Mumbai,Mumbai,Maharashtra University of Health Sciences Nashik,Govt.,1964,200
364,Maharashtra,Terna Medical College Navi Mumbai,Navi Mumbai,Maharashtra University of Health Sciences Nashik,Trust,1991,150
365,Maharashtra,Mahatma Gandhi Missions Medical College Aurangabad,Aurangabad,MGM Institute of Health Sciences Deemed Navi Mumbai,Trust,1989,200
366,Maharashtra,Armed Forces Medical College Pune,Pune,Maharashtra University of Health Sciences Nashik,Govt.,1962,150
367,Maharashtra,Government Medical College Akola,Akola,Maharashtra University of Health Sciences Nashik,Govt.,2002,200
368,Maharashtra,Rural Medical College Loni,Loni,Pravara Institute of Medical Sciences Deemed Ahmednagar,Trust,1984,200
369,Maharashtra,Dr. Shankarrao Chavan Govt. Medical College Nanded,Nanded,Maharashtra University of Health Sciences Nashik,Govt.,1988,150
370,Maharashtra,Government Medical College Aurangabad,Aurangabad,Maharashtra University of Health Sciences Nashik,Govt.,1956,200
371,Maharashtra,Maharashtra Institute of Medical Education & Research Talegaon Pune,Talegaon,Maharashtra University of Health Sciences Nashik,Trust,1994,150
372,Maharashtra,Smt. Kashibai Navale Medical College and General Hospital Pune,Pune,Maharashtra University of Health Sciences Nashik,Trust,2007,150
373,Maharashtra,KJ Somaiyya Medical College & Research Centre Mumbai,Mumbai,Maharashtra University of Health Sciences Nashik,Trust,1991,100
374,Maharashtra,N. K. P. Salve Instt. of Medical Sciences and Research Centre and Lata Mangeshkar Hospital Nagpur,Nagpur,Maharashtra University of Health Sciences Nashik,Trust,1990,200
375,Maharashtra,Dr. Vithalrao Vikhe Patil Foundations Medical College & Hospital Ahmednagar,Ahmednagar,Maharashtra University of Health Sciences Nashik,Trust,2003,200
376,Maharashtra,Padmashree Dr. D.Y.Patil Medical College Navi Mumbai,Navi Mumbai,Padmashree Dr. D Y Patil University Deemed Navi Mumbai,Trust,1989,250
377,Maharashtra,Government Medical College Miraj,Miraj,Maharashtra University of Health Sciences Nashik,Govt.,1962,200
378,Maharashtra,Topiwala National Medical College Mumbai,Mumbai,Maharashtra University of Health Sciences Nashik,Govt.,1964,150
379,Maharashtra,SRTR Medical College Ambajogai,Ambajogai,Maharashtra University of Health Sciences Nashik,Govt.,1974,150
380,Maharashtra,Dr. Panjabrao Alias Bhausaheb Deshmukh Memorial Medical College Amravati,Amravati,Maharashtra University of Health Sciences Nashik,Trust,1984,150
381,Maharashtra,B. J. Govt. Medical College Pune,Pune,Maharashtra University of Health Sciences Nashik,Govt.,1964,250
382,Maharashtra,Dr. Ulhas Patil Medical College & Hospital Jalgaon,Jalgaon,Maharashtra University of Health Sciences Nashik,Trust,2008,200
383,Maharashtra,Jawaharlal Nehru Medical College Sawangi Meghe Wardha,Wardha,Datta Meghe Instt. of Medical Sciences Deemed Nagpur,Trust,1990,250
384,Maharashtra,Dr. Vasantrao Pawar Medical College Hospital & Research Centre Nasik,Nasik,Maharashtra University of Health Sciences Nashik,Trust,1990,120
385,Maharashtra,Bharatratna Atal Bihari Vajpayee Medical College Pune,Pune,Maharashtra University of Health Sciences Nashik,Trust,2022,100
386,Maharashtra,Government Medical College Sindhudurg,Sindhudurg,Maharashtra University of Health Sciences Nashik,Govt.,2021,100
387,Maharashtra,Dr. N Y Tasgaonkar Institute of Medical Science Karjat,Karjat,Maharashtra University of Health Sciences Nashik,Trust,2021,100
388,Maharashtra,Government Medical College Satara,Satara,Maharashtra University of Health Sciences Nashik,Govt.,2021,100
389,Maharashtra,Government Medical College Alibag,Alibag,Maharashtra University of Health Sciences Nashik,Govt.,2021,100
390,Maharashtra,Government Medical College Nandurbar,Nandurbar,Maharashtra University of Health Sciences Nashik,Govt.,2020,100
391,Maharashtra,Datta Meghe Medical College Nagpur,Nagpur,Datta Meghe Instt. of Medical Sciences Deemed Nagpur,Private,2020,150
392,Maharashtra,Sindhudurg Shikshan Prasarak Mandal Medical College & Lifetime Hospital Padave Sindhudurg,Sindhudurg,Maharashtra University of Health Sciences Nashik,Trust,2020,151
393,Maharashtra,Symbiosis Medical College for Women Pune,Pune,Symbiosis International Deemed University Pune,Society,2020,150
394,Maharashtra,Government Medical College & Hospital Baramati,Baramati,Maharashtra University of Health Sciences Nashik,Govt.,2019,100
395,Maharashtra,Government Medical College Jalgaon,Jalgaon,Maharashtra University of Health Sciences Nashik,Govt.,2018,150
396,Maharashtra,Vedantaa Institute of Medical Sciences Palghar,Palghar,Maharashtra University of Health Sciences Nashik,Private,2017,150
397,Maharashtra,Government Medical College Gondia,Gondia,Maharashtra University of Health Sciences Nashik,Govt.,2016,150
398,Maharashtra,Prakash Institute of Medical Sciences & Research Sangli,Sangli,Maharashtra University of Health Sciences Nashik,Trust,2016,150
399,Maharashtra,Government Medical College Chandrapur,Chandrapur,Maharashtra University of Health Sciences Nashik,Govt.,2015,150
400,Maharashtra,H.B.T. Medical College & Dr. R.N. Cooper Municipal General Hospital Juhu Mumbai,Juhu,Maharashtra University of Health Sciences Nashik,Govt.,2015,200
401,Maharashtra,B.K.L. Walawalkar Rural Medical College Ratnagiri,Ratnagiri,Maharashtra University of Health Sciences Nashik,Trust,2015,150
402,Maharashtra,SMBT Institute of Medical Sciences & Research Centre Nandihills Nashik,Nandihills,Maharashtra University of Health Sciences Nashik,Trust,2014,150
403,Maharashtra,Indian Institute of Medical Science & Research Jalna,Jalna,Maharashtra University of Health Sciences Nashik,Trust,2013,150
404,Maharashtra,Ashwini Rural Medical College Hospital & Research Centre Solapur,Solapur,Maharashtra University of Health Sciences Nashik,Trust,2012,100
405,Maharashtra,Mahatma Gandhi Missions Medical College Navi Mumbai II,Navi Mumbai,MGM Institute of Health Sciences Deemed Navi Mumbai,Trust,1989,200
406,Maharashtra,Government Medical College Osmanabad,Osmanabad,Maharashtra University of Health Sciences Nashik,Govt.,2022,100
407,Maharashtra,Dr. Rajendra Gode Medical College Amravati,Amravati,Maharashtra University of Health Sciences Nashik,Trust,2023,150
408,Maharashtra,Bharati Vidyapeeth University Medical College Pune,Pune,Bharati Vidyapeeth University Deemed Pune,Trust,1989,150
409,Manipur,Regional Institute of Medical Sciences Imphal,Imphal,Manipur University,Govt.,1972,125
410,Manipur,Shija Academy of Health Sciences Imphal,Imphal,Manipur University,Private,2021,150
411,Manipur,Government Medical College Churachandpur,Churachandpur,Manipur University,Govt.,2022,100
412,Manipur,Jawaharlal Nehru Institute of Medical Sciences Porompat Imphal,Porompat,Manipur University,Govt.,2010,150
413,Meghalaya,PA Sangama International Medical College and Hospital,RI-Bhoi District,University of Science and Technology Meghalaya,Trust,2024,150
414,Meghalaya,North Eastern Indira Gandhi Regional Instt. of Health and Medical Sciences Shillong,Shillong,North Eastern Hill University Shillong,Govt.,2008,50
415,Mizoram,Zoram Medical College Mizoram,Mizoram,Mizoram University,Govt.,2018,100
416,Nagaland,Nagaland Institute of Medical Sciences & Research Kohima,Kohima,Nagaland University,Society,2023,100
417,Orissa,Government Medical College and Hospital Jajpur,Jajpur,The Orissa University Of Health Sciences Bhubaneswar,Govt.,2024,50
418,Orissa,Institute of Medical Sciences & SUM Hospital Campus Bhubaneswar II,Bhubaneswar,Siksha O Anusandhan University Bhubaneswar,Trust,2024,150
419,Orissa,Government Medical College Bhawanipatna,Kalahandi,Kalahandi University,Govt.,2023,100
420,Orissa,SCB Medical College Cuttack,Cuttack,Utkal University,Govt.,1944,250
421,Orissa,MKCG Medical College Berhampur,Berhampur,Berhampur University,Govt.,1962,250
422,Orissa,Veer Surendra Sai Institute of Medical Sciences and Research Burla,Burla,Sambalpur University,Govt.,1959,200
423,Orissa,All India Institute of Medical Sciences Bhubaneswar,Bhubaneswar,Statutory Autonomous AIIMS(Bhubaneswar),Govt.,2012,125
424,Orissa,Sri Jagannath Medical College & Hospital Puri,Puri,Utkal University,Govt.,2021,100
425,Orissa,Fakir Mohan Medical College & Hospital Balasore,Balasore,Fakir Mohan Univeristy Balasore,Govt.,2018,100
426,Orissa,Bhima Bhoi Medical College & Hospital Balangir,Balangir,Sambalpur University,Govt.,2018,100
427,Orissa,Pt. Raghunath Murmu Medical College and Hospital Baripada,Baripada,North Odisha University Baripada,Govt.,2017,125
428,Orissa,Saheed Laxman Nayak Medical College & Hospital Koraput,Koraput,Berhampur University,Govt.,2017,125
429,Orissa,Hi-Tech Medical College & Hospital Rourkela,Rourkela,Sambalpur University,Trust,2012,100
430,Orissa,Instt. Of Medical Sciences & SUM Hospital Bhubaneswar,Bhubaneswar,Siksha O Anusandhan University Bhubaneswar,Trust,2007,250
431,Orissa,Government Medical College Sundargarh,Sundargarh,Sambalpur University Burla,Govt.,2022,100
432,Orissa,Government Medical College Keonjhar,Keonjhar,MSCBD University Baripada,Govt.,2022,100
433,Orissa,Kalinga Institute of Medical Sciences Bhubaneswar,Bhubaneswar,KIIT University Deemed Bhubaneswar,Trust,2007,250
434,Orissa,Hi-Tech Medical College & Hospital Bhubaneswar,Bhubaneswar,Utkal University,Trust,2005,150
435,Orissa,DRIEMS Institute of Health Sciences and Hospital Kairapari,Kairapari,Utkal University,Society,2023,100
436,Pondicherry,Sri Manakula Vinayagar Medical College & Hospital Pondicherry,Pondicherry,Pondicherry University,Trust,2006,250
437,Pondicherry,Puducherry Institute of Medical Sciences & Research Pondicherry,Pondicherry,Pondicherry University,Trust,2000,150
438,Pondicherry,Aarupadai Veedu Medical College Pondicherry,Pondicherry,Vinayaka Missions University Deemed Salem,Trust,1999,150
439,Pondicherry,Vinayaka Missions Medical College Karaikal Pondicherry,Pondicherry,Vinayaka Missions University Deemed Salem,Trust,1997,150
440,Pondicherry,Jawaharlal Instt. of Postgraduate Medical Education & Research Puducherry,Puducherry,Statutory Autonomous Puducherry,Govt.,1956,200
441,Pondicherry,Sri Venkateswaraa Medical College Hospital & Research Centre Pondicherry,Pondicherry,Pondicherry University,Trust,2007,250
442,Pondicherry,Mahatma Gandhi Medical College & Research Institute Pondicherry,Pondicherry,Sri Balaji Vidyapeeth Deemed University Pondicherry,Trust,2002,250
443,Pondicherry,Sri Lakshmi Narayana Institute of Medical Sciences Pondicherry,Pondicherry,Bharath Institute of Higher Education & Research Deemed Chennai,Trust,2006,250
444,Pondicherry,Indira Gandhi Medical College & Research Institute Puducherry,Puducherry,Pondicherry University,Govt.,2010,180
445,Punjab,RIMT Medical College and Hospital Fatehgarh Sahib,Fatehgarh Sahib,RIMT University,Trust,2024,50
446,Punjab,Guru Govind Singh Medical College Faridkot,Faridkot,Baba Farid University of Health Sciences Faridkot,Govt.,1973,150
447,Punjab,Christian Medical College Ludhiana,Ludhiana,Baba Farid University of Health Sciences Faridkot,Trust,1953,100
448,Punjab,Dayanand Medical College & Hospital Ludhiana,Ludhiana,Baba Farid University of Health Sciences Faridkot,Trust,1963,100
449,Punjab,Sri Guru Ram Das Institute of Medical Sciences and Research Sri Amritsar,Amritsar,Sri Guru Ram Das University of Health Sciences Sri Amritsar,Trust,1997,150
450,Punjab,Gian Sagar Medical College & Hospital Patiala,Patiala,Baba Farid University of Health Sciences Faridkot,Trust,2020,150
451,Punjab,All India Institute of Medical Sciences Bhatinda,Bhatinda,Statutory Autonomous AIIMS(Bhatinda),Govt.,2019,100
452,Punjab,Government Medical College Patiala,Patiala,Baba Farid University of Health Sciences Faridkot,Govt.,1953,250
453,Punjab,Government Medical College Amritsar,Amritsar,Baba Farid University of Health Sciences Faridkot,Govt.,1943,250
454,Punjab,Adesh Institute of Medical Sciences & Research Bhatinda,Bhatinda,Adesh University Bathinda,Trust,2006,150
455,Punjab,Dr B R Ambedkar State Institute of Medical Sciences SAS Nagar Mohali,Mohali,Baba Farid University of Health Sciences Faridkot,Govt.,2021,100
456,Punjab,Chintpurni Medical College Pathankot Gurdaspur,Pathankot,Baba Farid University of Health Sciences Faridkot,Trust,2011,150
