SlNo,State,CollegeName,District,University,Management,YearOfInception,AnnualIntake
683,Uttar Pradesh,Subharti Medical College Meerut,Meerut,Swami Vivekanand Subharti University Meerut,Trust,1996,200
684,Uttar Pradesh,Jawaharlal Nehru Medical College Aligarh,Aligarh,Aligarh Muslim University,Govt.,1961,150
685,Uttar Pradesh,Hind Institute of Medical Sciences Barabanki,Barabanki,Dr. Ram Manohar Lohia Avadh University Faizabad,Trust,2009,100
686,Uttar Pradesh,GSVM Medical College Kanpur,Kanpur,C.S.J.M. University Kanpur,Govt.,1955,250
687,Uttar Pradesh,Autonomous State Medical College Pratapgarh,Pratapgarh,Atal Bihari Vajpayee Medical University Lucknow,Govt.,2021,100
688,Uttar Pradesh,Uma Nath Singh Autonomous State Medical College Society Jaunpur,Jaunpur,Atal Bihari Vajpayee Medical University Lucknow,Govt.,2021,100
689,Uttar Pradesh,Autonomous State Medical College Siddharthnagar,Siddharthnagar,Atal Bihari Vajpayee Medical University Lucknow,Govt.,2021,100
690,Uttar Pradesh,Maharshi Devraha Baba Autonomous State Medical College Deoria,Deoria,Atal Bihari Vajpayee Medical University Lucknow,Govt.,2021,100
691,Uttar Pradesh,Autonomous State Medical College Society Ghazipur,Ghazipur,Atal Bihari Vajpayee Medical University Lucknow,Govt.,2021,100
692,Uttar Pradesh,Autonomous State Medical College Society Etah,Etah,Atal Bihari Vajpayee Medical University Lucknow,Govt.,2021,100
693,Uttar Pradesh,Autonomous State Medical College Society Hardoi,Hardoi,Atal Bihari Vajpayee Medical University Lucknow,Govt.,2021,100
694,Uttar Pradesh,Autonomous State Society Medical College Mirzapur,Mirzapur,Atal Bihari Vajpayee Medical University Lucknow,Govt.,2021,100
695,Uttar Pradesh,Autonomous State Medical College Society Fatehpur,Fatehpur,Atal Bihari Vajpayee Medical University Lucknow,Govt.,2021,100
696,Uttar Pradesh,Naraina Medical College & Research Centre Kanpur,Kanpur,Atal Bihari Vajpayee Medical University Lucknow,Society,2021,150
697,Uttar Pradesh,Noida International Institute Of Medical Sciences Noida,Noida,Noida International University,Trust,2020,150
698,Uttar Pradesh,United Institute of Medical Sciences Allahabad,Allahabad,Prof. Rajendra Singh Rajju Bhaiya University Prayagraj,Society,2020,150
699,Uttar Pradesh,Government Medical College Rampur Basti,Rampur Basti,King Georges Medical University Lucknow,Govt.,2019,100
700,Uttar Pradesh,Government Medical College Badaun,Badaun,Mahatma Jyotiba Phule Rohilkhand University,Govt.,2019,100
701,Uttar Pradesh,Government Medical College Faizabad,Faizabad,King Georges Medical University Lucknow,Govt.,2019,100
